alpha,seed,client_id,is_malicious,n_valid_classes,M_nan_fraction,n_valid_t_columns,A_observable,A_mean_t_variant
0.5,0,50,False,9,0.10000000149011612,10,-0.5405888557434082,-2.097087860107422
0.5,0,51,False,9,0.10000000149011612,10,-0.5236244201660156,-2.214721441268921
0.5,0,52,False,8,0.20000000298023224,10,0.0722917914390564,-1.3662395477294922
0.5,0,53,False,8,0.20000000298023224,10,-3.486192226409912,-5.738010883331299
0.5,0,54,True,9,0.10000000149011612,10,2.6954903602600098,-0.6747975945472717
0.5,0,55,False,9,0.10000000149011612,10,-1.698585033416748,-3.030837297439575
0.5,0,56,True,9,0.10000000149011612,10,-1.1487542390823364,-2.309720516204834
0.5,0,57,False,8,0.20000000298023224,10,0.8309780359268188,-0.5952746272087097
0.5,0,58,False,10,0.0,10,-1.122300624847412,-2.3844804763793945
0.5,0,59,False,7,0.30000001192092896,10,-2.3014416694641113,-3.5057544708251953
0.5,0,60,False,9,0.10000000149011612,10,-1.8397163152694702,-2.896144390106201
0.5,0,61,True,9,0.10000000149011612,10,0.24874401092529297,-1.665247917175293
0.5,0,62,False,9,0.10000000149011612,10,0.31306976079940796,-1.0486363172531128
0.5,0,63,True,8,0.20000000298023224,10,0.4291151762008667,-1.7847487926483154
0.5,0,64,False,9,0.10000000149011612,10,0.015528202056884766,-1.5421308279037476
0.5,0,65,True,9,0.10000000149011612,10,0.5115342140197754,-0.8483473062515259
0.5,0,66,False,8,0.20000000298023224,10,-0.1033792793750763,-1.4670133590698242
0.5,0,67,False,9,0.10000000149011612,10,-0.28886616230010986,-1.9364429712295532
0.5,0,68,False,10,0.0,10,0.13850492238998413,-0.8985952138900757
0.5,0,69,False,8,0.20000000298023224,10,0.42096060514450073,-0.6382840871810913
0.5,0,70,False,9,0.10000000149011612,10,-1.461561679840088,-2.9838829040527344
0.5,0,71,False,8,0.20000000298023224,10,-0.4532017707824707,-2.269801616668701
0.5,0,72,False,8,0.20000000298023224,10,-0.6188672780990601,-1.3335872888565063
0.5,0,73,False,10,0.0,10,-0.43143999576568604,-1.6186975240707397
0.5,0,74,False,8,0.20000000298023224,10,0.028068184852600098,-0.5932026505470276
0.5,0,75,False,8,0.20000000298023224,10,-0.16707062721252441,-3.5005996227264404
0.5,0,76,False,9,0.10000000149011612,10,-0.26883965730667114,-0.9888866543769836
0.5,0,77,False,5,0.5,10,0.9733165502548218,-1.2672892808914185
0.5,0,78,False,9,0.10000000149011612,10,0.8299839496612549,-0.7041850090026855
0.5,0,79,False,6,0.4000000059604645,10,0.11310452222824097,-1.341707468032837
0.5,0,80,False,10,0.0,10,-1.2874996662139893,-3.947767972946167
0.5,0,81,False,9,0.10000000149011612,10,0.034297823905944824,-1.3883713483810425
0.5,0,82,False,9,0.10000000149011612,10,-1.3976171016693115,-2.978308916091919
0.5,0,83,False,9,0.10000000149011612,10,0.0030518770217895508,-1.5183624029159546
