alpha,seed,client_id,is_malicious,class_id,is_target_class,numerator,denominator,ratio_J
1.0,0,19,False,3,False,1.0059939919140506,0.5818061122937961,2.514349605734876
1.0,0,19,False,4,False,0.9021849569803413,0.7796649038329927,1.6826591538116344
1.0,0,19,False,5,False,1.0447148638876478,0.8845540326464307,1.7174415406112642
1.0,0,19,False,6,False,0.9029058721897765,1.2313437990572864,1.0662810870731514
1.0,0,19,False,7,False,1.0345958763183751,1.1782146232155002,1.2768941305227517
1.0,0,19,False,8,False,0.9891785360345277,1.2820118254904456,1.12199574291802
1.0,0,19,False,9,False,1.0868458566079195,1.4738203716586014,1.0723386391866403
1.0,0,20,False,0,True,0.9963141970524484,0.5404071485687378,2.686360357480232
1.0,0,20,False,1,False,1.0790439353367054,1.587804948102002,0.990218449076434
1.0,0,20,False,2,False,0.9770743965614928,0.5348114520989248,2.6620485457149603
1.0,0,20,False,3,False,0.9935584546431624,0.6072403645161449,2.384085505709618
1.0,0,20,False,4,False,0.899832712316692,0.7599102155952879,1.7253949830751625
1.0,0,20,False,5,False,1.0202977203669825,0.8480601952856458,1.7530296964828815
1.0,0,20,False,6,False,0.905163416555017,1.208195480764413,1.0916384459006285
1.0,0,20,False,7,False,1.041998358633525,1.186079273998898,1.2800954511329083
1.0,0,20,False,8,False,0.9845557837363327,1.2243845514747362,1.1716867611067088
1.0,0,20,False,9,False,1.1021607218134293,1.5031063695952092,1.0684255154837758
1.0,0,21,False,0,True,1.0080048795590817,0.5426746623968383,2.6993369804996457
1.0,0,21,False,1,False,1.080733555172909,1.5770026191497166,0.9959103276400073
1.0,0,21,False,2,False,0.9765566291583933,0.536141389758122,2.646988847603326
1.0,0,21,False,3,False,0.9840874218523377,0.5566845134701293,2.568967180018229
1.0,0,21,False,4,False,0.89647521201567,0.758732957502761,1.717051618488762
1.0,0,21,False,5,False,1.0302195703917418,0.8499309414570102,1.7614899534220472
1.0,0,21,False,6,False,0.8869867355300465,1.1950389978385083,1.0786214735431856
1.0,0,21,False,7,False,1.0373694527490493,1.1791314641755957,1.278513274971172
1.0,0,21,False,8,False,0.9879471179249567,1.2951192576055646,1.1085568051215828
1.0,0,21,False,9,False,1.1116196209844482,1.5095431966457546,1.0701500434069688
1.0,0,22,False,0,True,0.9933295551147634,0.5598832372209852,2.5796560612994113
1.0,0,22,False,1,False,1.0753793381157626,1.579535963758017,0.9899154061610805
1.0,0,22,False,2,False,0.9834166032820788,0.5490503925514735,2.604301397320554
1.0,0,22,False,3,False,0.9946815608019766,0.5689841683258359,2.541849299366917
1.0,0,22,False,4,False,0.8946241915357961,0.8014205941502242,1.6231028990239178
1.0,0,22,False,5,False,1.0346777825834066,0.8466979179482311,1.7768163663240013
