alpha,seed,client_id,is_malicious,l2_bn1,l2_conv1,l2_layer1,l2_layer2,l2_layer3,l2_layer4,l2_linear,update_l2_to_global,l2_to_median,n_participations,n_local_samples
0.5,0,55,False,7.884109877541122,0.00600332096486104,9.47040639157411,18.220081520507556,23.017787184712077,35.757044293806764,0.007871361089644284,47.87693405151367,2.2073378562927246,110,500
0.5,0,56,True,7.891728300444223,0.008946588685614088,9.178675654353635,18.195818628105492,23.09918938932245,35.42621398769753,0.01130203995632268,47.60462951660156,4.514334201812744,104,500
0.5,0,57,False,7.8474052378611905,0.012238276547985958,9.64951854484709,18.4545535735397,23.10045555418016,36.06269667090414,0.020601799984377552,48.26392364501953,3.023054599761963,94,500
0.5,0,58,False,7.868816332598088,0.00606008365389021,9.591590348109545,18.297542704694717,23.04196213131646,35.706334973409156,0.008565861586506214,47.90185546875,1.7429641485214233,95,500
0.5,0,59,False,7.861927747189752,0.0133988899672058,9.454639363085628,18.07495913430425,22.918757252665834,35.83639687920766,0.02139624790727642,47.82686996459961,2.57316255569458,99,500
0.5,0,60,False,7.866614510278602,0.009388680646240346,9.785542816143057,18.473234178864526,23.121566182002855,35.91016952379497,0.010124859201494812,48.19796371459961,2.1648645401000977,112,500
0.5,0,61,True,7.904637106248267,0.010067452611083648,9.554019405953621,18.665220606827745,23.30877254274951,35.62353275205146,0.012838962004466343,48.109066009521484,5.040870189666748,93,500
0.5,0,62,False,7.854181858142071,0.006636198493392667,9.592093019226027,18.25748019809629,23.063064455456725,35.82577085009451,0.00848837703456324,47.98353958129883,2.053849220275879,99,500
0.5,0,63,True,7.887464178226154,0.023799845797397714,9.524343670526411,18.63602209085881,23.184714336705827,35.429438064452505,0.033610244907020796,47.88501739501953,4.331449508666992,94,500
0.5,0,64,False,7.86157555137455,0.007599304227421412,9.774646473004038,18.56871429512797,23.14709655636618,36.02585359728056,0.008959671732304067,48.33003616333008,2.6997828483581543,118,500
0.5,0,65,True,7.876991159322196,0.0151666928007803,9.49896474894291,18.485274740551986,23.160015712384485,35.631712278592076,0.009632498690840935,47.95810317993164,4.14772367477417,108,500
0.5,0,66,False,7.866849064768682,0.00454883974919609,9.650947937072141,18.352630010339926,23.05429348898429,35.85045163036033,0.005058247122468431,48.04790115356445,1.689235806465149,97,500
0.5,0,67,False,7.868213464734065,0.014431830636128934,9.635537422788486,18.283771422129327,23.01304501547652,35.815493615021644,0.021812879579234425,47.97275161743164,1.7540696859359741,108,500
0.5,0,68,False,7.879444036820536,0.007060149062146449,9.734052448011711,18.39064123169669,23.08796770912274,35.921178007264544,0.008581760773720873,48.150123596191406,2.0065321922302246,99,500
0.5,0,69,False,7.856498428601409,0.00773548324112531,9.729315826156212,18.44270294203243,23.10420205944548,35.85788943182318,0.012023386441196342,48.125919342041016,1.9109159708023071,100,500
0.5,0,70,False,7.878597201923134,0.006876057162880441,9.75306237453335,18.551571533707687,23.176071526471453,36.014721443895965,0.010972859425040879,48.32745361328125,2.5731427669525146,86,500
