round,defense,tau,alpha,alpha_dirichlet,seed,n_malicious_in_round,n_selected,tpr,fpr,precision,influence_malicious_mean,influence_benign_mean,trim_survival_malicious_mean,trim_survival_benign_mean,mask_keep_ratio,zero_sign_ratio,effective_trim_n,malicious_rank_l2_mean,malicious_rank_cos_mean,flame_n_clusters,flame_n_noise,flame_max_cluster_size,flame_fallback_triggered,clip_rate_malicious,clip_rate_benign
286,invariant,0.2,0.25,0.5,0,0,10,,,,,0.13754790727153257,,0.4,0.34386976817883147,2.0214469394680776e-06,4,,,,,,,,
287,invariant,0.2,0.25,0.5,0,1,10,,,,0.07772241280291589,0.14614502995396747,0.22317550120653837,0.4196471665326069,0.34825692059715585,2.0418655954223007e-06,4,1.0,8.0,,,,,,
288,invariant,0.2,0.25,0.5,0,1,10,,,,0.08517488818944316,0.14195425137153675,0.2500064318766256,0.41666595201370826,0.3406907876333185,1.9806096275596317e-06,4,1.0,2.0,,,,,,
289,invariant,0.2,0.25,0.5,0,0,10,,,,,0.13810166122101114,,0.4,0.3452541530525278,2.2664708109187538e-06,4,,,,,,,,
290,invariant,0.2,0.25,0.5,0,1,10,,,,0.12305079231589389,0.14005430544710232,0.3557564887425824,0.4049159456952686,0.34588488533495376,1.9806096275596317e-06,4,4.0,9.0,,,,,,
291,invariant,0.2,0.25,0.5,0,2,10,,,,0.09594485120920182,0.15083872785087601,0.2744026420107312,0.43139933949731724,0.34964988130635294,1.7764230680174015e-06,4,2.5,3.5,,,,,,
292,invariant,0.2,0.25,0.5,0,0,10,,,,,0.14301692175693548,,0.4,0.35754230439233875,2.491076026415207e-06,4,,,,,,,,
293,invariant,0.2,0.25,0.5,0,1,10,,,,0.10194695607605926,0.14377775304086443,0.2921227683940441,0.4119863590673285,0.3489866833609598,1.8172603799258476e-06,4,2.0,5.0,,,,,,
294,invariant,0.2,0.25,0.5,0,0,10,,,,,0.1437715952810036,,0.4,0.35942898820250896,2.429820058552538e-06,4,,,,,,,,
295,invariant,0.2,0.25,0.5,0,3,10,,,,0.08666231756598695,0.1606509099669377,0.250370836823222,0.4641267842186192,0.34613583061663117,1.7764230680174015e-06,4,3.0,2.3333333333333335,,,,,,
296,invariant,0.2,0.25,0.5,0,2,10,,,,0.09023796954484434,0.14731688490317968,0.2655989343095084,0.4336002664226229,0.3397527545787815,1.8172603799258476e-06,4,2.5,8.0,,,,,,
297,invariant,0.2,0.25,0.5,0,0,10,,,,,0.13977827789872427,,0.4,0.3494456947468107,1.6947484442005097e-06,4,,,,,,,,
298,invariant,0.2,0.25,0.5,0,2,10,,,,0.11679995106888896,0.1456487406201409,0.33400286106207233,0.4164992847344819,0.3496974567747263,1.7355857561089555e-06,4,5.5,5.5,,,,,,
299,invariant,0.2,0.25,0.5,0,0,10,,,,,0.14481768386285035,,0.4,0.36204420965712586,2.205214843056085e-06,4,,,,,,,,
300,invariant,0.2,0.25,0.5,0,2,10,,,,0.08273698523394976,0.15135130175478262,0.24046479394921716,0.4398838015126957,0.34407109612654013,1.8580976918342936e-06,4,2.5,5.5,,,,,,
301,invariant,0.2,0.25,0.5,0,0,10,,,,,0.145332560691392,,0.4,0.36333140172848005,2.1235402192391928e-06,4,,,,,,,,
302,invariant,0.2,0.25,0.5,0,2,10,,,,0.10332920991432155,0.14955435539989675,0.2945754573472654,0.42635613566318364,0.3507733157569543,1.6539111322920636e-06,4,3.5,4.0,,,,,,
303,invariant,0.2,0.25,0.5,0,1,10,,,,0.11022022617881441,0.14512887385017054,0.3112730174403908,0.4098585536177344,0.3540950227075873,2.1643775311476386e-06,4,3.0,7.0,,,,,,
304,invariant,0.2,0.25,0.5,0,2,10,,,,0.09892179493904218,0.14861801890636606,0.285326418759681,0.4286683953100798,0.3466969352822532,1.5926551644293945e-06,4,3.5,6.0,,,,,,
305,invariant,0.2,0.25,0.5,0,0,10,,,,,0.1451023199268522,,0.4,0.3627557998171305,2.2256334990103075e-06,4,,,,,,,,
306,invariant,0.2,0.25,0.5,0,1,10,,,,0.11575006996411978,0.14237175838186922,0.3314019326666234,0.40762200748148625,0.3492739738502357,1.8785163477885167e-06,4,4.0,3.0,,,,,,
307,invariant,0.2,0.25,0.5,0,0,10,,,,,0.13984467936788741,,0.4,0.34961169841971856,2.1235402192391928e-06,4,,,,,,,,
308,invariant,0.2,0.25,0.5,0,1,10,,,,0.13122942100455764,0.1372410074483118,0.38416149360018065,0.4017598340444244,0.34159962200984095,2.4706573704609838e-06,4,6.0,4.0,,,,,,
309,invariant,0.2,0.25,0.5,0,0,10,,,,,0.13854327591198906,,0.4000000000000001,0.3463581897799726,2.3073081228271996e-06,4,,,,,,,,
310,invariant,0.2,0.25,0.5,0,0,10,,,,,0.13831417859218267,,0.4,0.34578544648045667,1.8376790358800707e-06,4,,,,,,,,
311,invariant,0.2,0.25,0.5,0,0,10,,,,,0.14157160761387177,,0.4,0.35392901903467944,1.5926551644293945e-06,4,,,,,,,,
312,invariant,0.2,0.25,0.5,0,2,10,,,,0.07151093410005142,0.15232677156556226,0.21007356433367186,0.44748160891658206,0.3404090101811502,1.9806096275596317e-06,4,2.0,4.0,,,,,,
313,invariant,0.2,0.25,0.5,0,1,10,,,,0.08010915034671583,0.1450798793280498,0.23122392282401447,0.4187528974639984,0.34645701607479107,1.9601909716054086e-06,4,1.0,6.0,,,,,,
314,invariant,0.2,0.25,0.5,0,2,10,,,,0.072968942467187,0.15656126544762777,0.2087170509253531,0.44782073726866173,0.34960700212884904,1.5926551644293945e-06,4,1.5,1.5,,,,,,
315,invariant,0.2,0.25,0.5,0,2,10,,,,0.09444144287253448,0.14957843303343096,0.2726546008744902,0.4318363497813774,0.34637758750312914,1.6947484442005097e-06,4,2.5,5.5,,,,,,
316,invariant,0.2,0.25,0.5,0,2,10,,,,0.09311284077494877,0.14681674880764353,0.27370840770828764,0.4315728980729281,0.34018991800276144,1.7764230680174015e-06,4,4.5,3.0,,,,,,
317,invariant,0.2,0.25,0.5,0,0,10,,,,,0.14196593269765972,,0.4,0.35491483174414934,1.8376790358800707e-06,4,,,,,,,,
318,invariant,0.2,0.25,0.5,0,2,10,,,,0.0853935297580623,0.14949532867570647,0.24991710025682587,0.4375207249357935,0.3416874222304441,1.9397723156511855e-06,4,3.5,2.5,,,,,,
319,invariant,0.2,0.25,0.5,0,1,10,,,,0.07617572118498525,0.14330780993760367,0.22307095768805277,0.4196587824791052,0.34148650265585456,1.8989350037427396e-06,4,2.0,2.0,,,,,,
320,invariant,0.2,0.25,0.5,0,0,10,,,,,0.1392702617385832,,0.39999999999999997,0.34817565434645803,2.2460521549645307e-06,4,,,,,,,,
321,invariant,0.2,0.25,0.5,0,0,10,,,,,0.14248881363933547,,0.4,0.3562220340983387,2.1643775311476386e-06,4,,,,,,,,
322,invariant,0.2,0.25,0.5,0,0,10,,,,,0.1416834201738771,,0.4,0.3542085504346928,2.5319133383236527e-06,4,,,,,,,,
323,invariant,0.2,0.25,0.5,0,2,10,,,,0.07061484194568143,0.1559161974785298,0.20341902226491082,0.4491452444337723,0.3471398159299003,1.6539111322920636e-06,4,2.5,3.5,,,,,,
324,invariant,0.2,0.25,0.5,0,1,10,,,,0.08513807313198107,0.14479916684899255,0.2452962563211054,0.4171893048532105,0.3470826436932285,2.001028283513855e-06,4,2.0,5.0,,,,,,
325,invariant,0.2,0.25,0.5,0,1,10,,,,0.07360647714717872,0.14678503504654208,0.2111076671644735,0.4209880369817251,0.34866794814151436,2.0214469394680776e-06,4,1.0,8.0,,,,,,
326,invariant,0.2,0.25,0.5,0,1,10,,,,0.10404868120522874,0.14306171249891847,0.2990755249330166,0.41121383056299815,0.34790102342387375,1.7560044120631786e-06,4,4.0,7.0,,,,,,
