run_id,bad_client_num,poison_rate,seed,client_id,is_malicious,asr_std_filtered,asr_unfiltered,n_eligible,n_total
attack_a0.5_s0_e1_bad1_rho0p1_s0,1,0.1,0,11,False,0.0794979079497908,0.084,239,250
attack_a0.5_s0_e1_bad1_rho0p1_s0,1,0.1,0,12,False,0.020161290322580645,0.02,248,250
attack_a0.5_s0_e1_bad1_rho0p1_s0,1,0.1,0,13,False,0.012345679012345678,0.012,243,250
attack_a0.5_s0_e1_bad1_rho0p1_s0,1,0.1,0,14,False,0.12162162162162163,0.12,148,250
attack_a0.5_s0_e1_bad1_rho0p1_s0,1,0.1,0,15,False,0.012195121951219513,0.012,246,250
attack_a0.5_s0_e1_bad1_rho0p1_s0,1,0.1,0,16,False,0.07203389830508475,0.084,236,250
attack_a0.5_s0_e1_bad1_rho0p1_s0,1,0.1,0,17,True,1.0,1.0,216,250
attack_a0.5_s0_e1_bad1_rho0p1_s0,1,0.1,0,18,False,0.1469387755102041,0.144,245,250
attack_a0.5_s0_e1_bad1_rho0p1_s0,1,0.1,0,19,False,0.8120805369127517,0.876,149,250
attack_a0.5_s0_e1_bad1_rho0p1_s0,1,0.1,0,20,False,0.0,0.0,246,250
attack_a0.5_s0_e1_bad1_rho0p1_s0,1,0.1,0,21,False,0.39864864864864863,0.568,148,250
attack_a0.5_s0_e1_bad1_rho0p1_s0,1,0.1,0,22,False,0.04819277108433735,0.048,249,250
attack_a0.5_s0_e1_bad1_rho0p1_s0,1,0.1,0,23,False,0.0,0.0,250,250
attack_a0.5_s0_e1_bad1_rho0p1_s0,1,0.1,0,24,False,0.36363636363636365,0.372,242,250
attack_a0.5_s0_e1_bad1_rho0p1_s0,1,0.1,0,25,False,0.012552301255230125,0.012,239,250
attack_a0.5_s0_e1_bad1_rho0p1_s0,1,0.1,0,26,False,0.0,0.0,249,250
attack_a0.5_s0_e1_bad1_rho0p1_s0,1,0.1,0,27,False,0.108,0.108,250,250
attack_a0.5_s0_e1_bad1_rho0p1_s0,1,0.1,0,28,False,0.11983471074380166,0.132,242,250
attack_a0.5_s0_e1_bad1_rho0p1_s0,1,0.1,0,29,False,0.052,0.052,250,250
attack_a0.5_s0_e1_bad1_rho0p1_s0,1,0.1,0,30,False,0.47368421052631576,0.5,228,250
attack_a0.5_s0_e1_bad1_rho0p1_s0,1,0.1,0,31,False,0.18932038834951456,0.264,206,250
attack_a0.5_s0_e1_bad1_rho0p1_s0,1,0.1,0,32,False,0.18584070796460178,0.224,226,250
attack_a0.5_s0_e1_bad1_rho0p1_s0,1,0.1,0,33,False,0.1446280991735537,0.144,242,250
attack_a0.5_s0_e1_bad1_rho0p1_s0,1,0.1,0,34,False,0.07009345794392523,0.068,214,250
attack_a0.5_s0_e1_bad1_rho0p1_s0,1,0.1,0,35,False,0.1024390243902439,0.156,205,250
attack_a0.5_s0_e1_bad1_rho0p1_s0,1,0.1,0,36,False,0.004048582995951417,0.004,247,250
attack_a0.5_s0_e1_bad1_rho0p1_s0,1,0.1,0,37,False,0.2946859903381642,0.368,207,250
attack_a0.5_s0_e1_bad1_rho0p1_s0,1,0.1,0,38,False,0.06372549019607843,0.128,204,250
attack_a0.5_s0_e1_bad1_rho0p1_s0,1,0.1,0,39,False,0.29004329004329005,0.328,231,250
attack_a0.5_s0_e1_bad1_rho0p25_s0,1,0.25,0,0,False,0.03765690376569038,0.056,239,250
attack_a0.5_s0_e1_bad1_rho0p25_s0,1,0.25,0,1,False,0.40963855421686746,0.412,249,250
attack_a0.5_s0_e1_bad1_rho0p25_s0,1,0.25,0,2,False,0.4840764331210191,0.612,157,250
attack_a0.5_s0_e1_bad1_rho0p25_s0,1,0.25,0,3,False,0.505,0.564,200,250
attack_a0.5_s0_e1_bad1_rho0p25_s0,1,0.25,0,4,False,0.03319502074688797,0.032,241,250
attack_a0.5_s0_e1_bad1_rho0p25_s0,1,0.25,0,5,False,0.06086956521739131,0.068,230,250
attack_a0.5_s0_e1_bad1_rho0p25_s0,1,0.25,0,6,False,0.05531914893617021,0.056,235,250
attack_a0.5_s0_e1_bad1_rho0p25_s0,1,0.25,0,7,False,0.13872832369942195,0.268,173,250
attack_a0.5_s0_e1_bad1_rho0p25_s0,1,0.25,0,8,False,0.12083333333333333,0.128,240,250
attack_a0.5_s0_e1_bad1_rho0p25_s0,1,0.25,0,9,False,0.04564315352697095,0.048,241,250
attack_a0.5_s0_e1_bad1_rho0p25_s0,1,0.25,0,10,False,0.008,0.008,250,250
attack_a0.5_s0_e1_bad1_rho0p25_s0,1,0.25,0,11,False,0.07531380753138076,0.08,239,250
attack_a0.5_s0_e1_bad1_rho0p25_s0,1,0.25,0,12,False,0.016129032258064516,0.016,248,250
attack_a0.5_s0_e1_bad1_rho0p25_s0,1,0.25,0,13,False,0.00823045267489712,0.008,243,250
attack_a0.5_s0_e1_bad1_rho0p25_s0,1,0.25,0,14,False,0.11486486486486487,0.18,148,250
attack_a0.5_s0_e1_bad1_rho0p25_s0,1,0.25,0,15,False,0.25203252032520324,0.256,246,250
attack_a0.5_s0_e1_bad1_rho0p25_s0,1,0.25,0,16,False,0.0211864406779661,0.02,236,250
