run_id,round_from,round_to,kind,phase,span_rounds,bin,x_low,x_high,count,x_mean,y_mean,y_median,y_std
attack_a0.5_s0_e1b_persist_s0,300,350,segment,clean,50,1,0.0017138648545369506,0.0034369414672255514,1117397,0.0025751619212588932,0.00038353978075981836,0.00021959003061056137,0.0004663966878507143
attack_a0.5_s0_e1b_persist_s0,300,350,segment,clean,50,2,0.0034369414672255514,0.0051636383403092624,1117396,0.004299573303850894,0.00038430686278550727,0.00021953845862299204,0.00046769544987340406
attack_a0.5_s0_e1b_persist_s0,300,350,segment,clean,50,3,0.0051636383403092624,0.006895460840314628,1117396,0.006028628345465709,0.0003829320470357886,0.00021888269111514091,0.0004657679747808127
attack_a0.5_s0_e1b_persist_s0,300,350,segment,clean,50,4,0.006895460840314628,0.008638284169137478,1117396,0.007764997625702858,0.00038248617102908615,0.00021833088248968124,0.0004660014978204807
attack_a0.5_s0_e1b_persist_s0,300,350,segment,clean,50,5,0.008638284169137478,0.010417040251195431,1117396,0.00952233256181723,0.0003828467551894802,0.00021771341562271118,0.00046687434625338186
attack_a0.5_s0_e1b_persist_s0,300,350,segment,clean,50,6,0.010417040251195431,0.012302341684699063,1117396,0.01134463095265455,0.00038767066896354727,0.00021874718368053436,0.00047407417236565734
attack_a0.5_s0_e1b_persist_s0,300,350,segment,clean,50,7,0.012302341684699063,0.014565180242061618,1117396,0.013377493393755654,0.0004125394268248985,0.00023345369845628738,0.00049726235403678
attack_a0.5_s0_e1b_persist_s0,300,350,segment,clean,50,8,0.014565180242061618,0.01873918417841196,1117396,0.016328341381005095,0.0005423987756944359,0.0003439895808696747,0.0005796146201183621
attack_a0.5_s0_e1b_persist_s0,300,350,segment,clean,50,9,0.01873918417841196,1.0,1117397,0.03253784825208196,0.0008693399486427402,0.0006682351231575012,0.0007800115877696887
attack_a0.5_s0_e1b_persist_s0,350,400,segment,clean,50,0,0.0,0.0017142014694400132,1117397,0.0008530269168162627,0.00026965022745927496,0.0001508511631982401,0.00033245280318107114
attack_a0.5_s0_e1b_persist_s0,350,400,segment,clean,50,1,0.0017142014694400132,0.003438218450173736,1117396,0.002576350497440752,0.0002706270923304265,0.00015226437244564295,0.00033248363648639436
attack_a0.5_s0_e1b_persist_s0,350,400,segment,clean,50,2,0.003438218450173736,0.005167166655883193,1117396,0.0043021900617667775,0.00027095707973473824,0.00015226018149405718,0.00033271070537355796
attack_a0.5_s0_e1b_persist_s0,350,400,segment,clean,50,3,0.005167166655883193,0.006898974813520909,1117396,0.006032248134354699,0.00027067252576977154,0.00015181489288806915,0.00033307167129358224
attack_a0.5_s0_e1b_persist_s0,350,400,segment,clean,50,4,0.006898974813520909,0.008644107263535261,1117396,0.007769719822101337,0.0002698228932180012,0.00015155482105910778,0.0003319080603427962
attack_a0.5_s0_e1b_persist_s0,350,400,segment,clean,50,5,0.008644107263535261,0.010426348075270653,1117395,0.009529854128729141,0.0002703766250008863,0.00015086401253938675,0.00033385922499077454
attack_a0.5_s0_e1b_persist_s0,350,400,segment,clean,50,6,0.010426348075270653,0.012321144994348289,1117397,0.011359126167525687,0.0002731143578143579,0.0001515587791800499,0.0003375553184389803
attack_a0.5_s0_e1b_persist_s0,350,400,segment,clean,50,7,0.012321144994348289,0.0146024689078331,1117396,0.01340411303299204,0.00029207922914131014,0.00016227178275585175,0.00035490816163386333
attack_a0.5_s0_e1b_persist_s0,350,400,segment,clean,50,8,0.0146024689078331,0.018821665458381178,1117396,0.016384094637933024,0.0003849762953305744,0.00024302303791046143,0.00041376087874188654
attack_a0.5_s0_e1b_persist_s0,350,400,segment,clean,50,9,0.018821665458381178,1.0,1117397,0.03269252846914084,0.0006159398642950046,0.0004749707877635956,0.0005450048396695102
